filename,title,count,percentage,women,men,cost,examples,alt_text,full
interact_38.png,National/Ethnic Costumes,63,17.1%,36.5%,63.5%,8.31,"Alphonse, Arabian Chief, Armenian Chief",A woman wearing a large hat and a dress with a fringed skirt is seated on a crescent shape. She is holding a ribbon with musical notes on it. Her hair is curly and she has a serene expression.,"Alphonse, Arabian Chief, Armenian Chief, Carlos, Chinaman, Chinese Mandarin, Colonial Soldier, Corsican, Directoire, Dutchman, Dutchman, Fat, Dutch Professor, English Swell, Gipsy, Gondolier, Incroyable, Irishman, Japanese, Jew or Hebrew, John Bull, Matador, Mexican, Mikado, Peasant, Bohemian, Peasant, German, Peasant, Italian, Polish Courtier, Polish Prince, Scotchman, Spaniard, Spanish Bull Fighter, Swiss, Toreador, Turk, Turkish Pasha, Tyrolean, Vaquero, Van Dyke, Venetian, Zulu, Gipsy Queen, Gretchen, Highland Lassie, Indian Girl, Irish Girl, Italy, Japanese Lady, Lady Matador, Mexican Lady, Old Dutch Styles, Oriental Lady, Polish Princess, Russian Lady, Schwartzwalderin, Scotch Lady, Spanish Lady, Sultana, Tyrolese, Zulu Princess, Chinese Lady, Dutch Girl, Egyptian Dancing Girl"
interact_13.png,Royalty/Nobility,53,14.4%,28.3%,71.7%,9.01,"Austrian Nobleman, Black Prince, Charles I","A man in historical attire standing with his hands on his hips, wearing a large robe, tights, and a hat. The name ""Henry VIII"" is written below.","Austrian Nobleman, Black Prince, Charles I, Charles II, Count of Monte Cristo, Count de Mornay, Courtier, Elizabethan, Doge of Venice, Duke, Duke Grandee, Earl of Leicester, Edward IV, Francis I, French Marquis, French Prince, German Nobleman, Gipsy King, Italian Prince, Lord Chesterfield, Lord Dundreary, Louis XI, Louis XIV, Louis XV, Louis XVI, Marquis, Nabob, Noble, 1664, Page, Henry IV, Phillip of Spain, Prince, Prince Albert (Coats & Vests), Prince Albert Suit, Richard III, Reuben, Sailor, Blue, U.S., Spanish Prince, Sultan, Little ""Duke"", Marie Antoinette, Marie de Medici, Mary Stuart, Pierette, Princess, Princess Carnival, Princess Chic (Tights), Queen Esther, Queen, Gipsy, Queen of Diamonds, Queen of the Harem, Russian Princess, Turkish Princess, Turkish Queen, Francis I."
interact_20.png,Literary/Stage Characters,50,13.6%,30.0%,70.0%,9.8,"Bob Acres, Bassanio Antonio, Dickens’ Characters","A person stands wearing a period costume, consisting of a long cloak, doublet, and tights. They hold a skull in one hand. The word ""Hamlet"" is written below the image.","Acres, Bob, Antonio, Bassanio, Bob Acres, Dickens’ Characters, Don Caesar de Bazan, Don Juan, Don Pedro, Spanish, Falstaff, Faust, Figaro, Folly, Prince of, Hamlet, Henry IV, Henry VIII, Iago, Joseph Surface, King Lear, Macbeth, Macduff, Marc Antony, Merchant of Venice, Michael Strogoff, Nanki Poo (Mikado), Orlando, Othello, Petruchio, Richelieu, Robin Hood, Robinson Crusoe, Romeo, Shakespearian Court Costumes, Shylock, Touchstone, Valentine (from Faust), Juliet, Katisha (Mikado), Lady Teazle, Little Lord Fauntleroy, Marguerite, Ophelia (Hamlet), Pinafore, Sailor, Portia, Topsy, Viola (In the Twelfth Night), Yum Yum (Mikado), Zingara, Biddy, Carmen, Dolly Varden"
interact_22.png,Military/Uniformed Personnel,44,11.9%,13.6%,86.4%,8.98,"Absolute Capt., Admiral, American Officer, Ancient Cavalier","A person in elaborate military attire stands with one hand on the hip. The individual is wearing a decorated hat with a plume, a jacket with detailed patterns, and boots. A sash or fabric is draped over one shoulder. The word ""Hussar"" is written below.","Absolute Capt., Admiral, American Officer, Ancient Cavalier, Buckingham, Captain, U.S. Navy, Cavalier, Claude Melnotte, Colonial Officer, Commodore, U.S. Navy (fake), Confederate Officer, Confederate Soldier, Continental Soldier, Corcoran, Capt., D’Artagnan, English Officer, English Soldier, Fra Diavolo, French Officer, French Soldier, German Hussar, German Officer, Highlander, Hungarian Hussar, Miles Standish, Musketeer (Musquetaire), Oliver Cromwell, Rinaldo, Italian Brigand Captain, Roman Soldier, Russian Hussar, Sailor, White, Soldiers (Foreign Nations), U.S. Admiral, U.S. Marine, U.S. Officer, U.S. Sailor, U.S. Soldier, Zouave, Lady Sailor, Navy Costume, Sailor, Girl, Vivandiere, Daughter of the Regiment, Sailor Girl"
interact_52.png,Entertainment/Performers,20,5.4%,35.0%,65.0%,6.35,"Band Master, Boleno Clown, Circus Clown","An illustration of a woman in a detailed dress, holding a tambourine and standing beside a tall, bearded man. The woman's dress features decorative patterns, and the man's cape has circular patterns. Below, there is a small figure with a feathered headpiece.","Band Master, Clown, Boleno, Clown, Circus, Clown, Common, Clown, Devil, Clown, Grimaldi, Court Jester, Drum Major, Jester, Pierrot, Punch, Punchinello, Ring Master, Circus, Lady Clown, Music, Tamborine Girl, Trapeze Costume, Yama Yama Girls, Dancing Girl, Folly"
interact_33.png,Classical/Antiquity,19,5.1%,31.6%,68.4%,10.14,"Grecian Costume, ""Aramis"" Guardsman, ""Athos"" Guardsman ","A person in a flowing dress stands holding scales, with a backdrop of the American flag. Text below reads ""Justice.""","Grecian Costume, Guardsman, ""Aramis"", Guardsman, ""Athos"", Guardsman, ""Porthos"", Julius Caesar, Knight, Knight in Armour, Lands Knight, Malta Knight, Pythias, Rex, King Apple, Roman Citizen, Roman Senator, Goddess of Liberty, Grecian Lady, Justice, Liberty, Roman-Grecian Statue Drapery, Venus"
interact_31.png,Children/Youth Characters,18,4.9%,33.3%,66.7%,9.33,"Bingville Character, Foxy Grandpa, Jack of Cards","A person wearing a checkered jacket and hat is pushing another person seated in a wicker basket on a wheeled frame. The seated person is holding a stuffed bird toy. Text on the image reads ""Costumes and Make-up by Miller Dervant."" Below the image, it says ""Mutt and Jeff.""","Bingville Character, Foxy Grandpa, Jack of Cards, Jeff (Bud Fisher's), King of Cards, Mutt (Bud Fisher's), Rube of Bingville, Rip Van Winkle, Santa Claus, Silly Kid, Simple Simon, Little Bo-Peep, Little Red Riding Hood, Mother Goose, Queen of Hearts, Queen of Spades, Baby, Alphonse and Gaston"
interact_36.png,Fantasy/Supernatural,14,3.8%,57.1%,42.9%,7.32,"Damon, Demon, Devil","A person dressed in Renaissance-style clothing, including a hat, ornate tunic, and short pants. The figure stands with one hand on the hip and the other slightly raised. The text ""Faust"" is written below the image.","Damon, Demon, Devil, Fortune Teller, Mephistopheles, Prince Charming, Prince of the Tower, Lady Demon, Night, Queen of Night, Snow Queen, Winter, Witch, America, Fairy Queen"
interact_29.png,Animals/Plants,13,3.5%,38.5%,61.5%,7.88,"Black Bear, Polar Bear, Frog Suit","A polar bear standing on its hind legs with its mouth open. Below the image, the text reads ""Polar Bear.""","Bear, Black, Bear, Polar, Frog Suit, Kangaroo, Monkey, Lion, Lobster, Rooster, Sir Peter Teazle, Mountain Pet, Owls, Pansy, Sunflower, Butterfly"
interact_27.png,Racialized American Characters,13,3.5%,23.1%,76.9%,6.5,"Common Coon, Fancy Coon, Swell Coon","A drawing of a man wearing a top hat and formal attire, holding a banjo. The text below reads ""Negro Minstrel.""","Coon, Common, Coon, Fancy, Coon, Swell, Indian, Indian Chief, Negro Band Boy, Negro Minstrel (Endman), Swell Coon, Uncle Tom, Negro Wench, Cheyenne, Cotton Picker, Negro Minstrel"
