title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Spokane, the Playground of the Nation","&lt;em&gt;Algemeen Handelsblad&lt;/em&gt;","1931-01-31","Article in the Amsterdam-based newspaper, &lt;em&gt;Algemeen Handelsblad&lt;/em&gt;, describing the history of Dutch investment in Spokane, WA.","newspapers;articles;urban development;street scenes;pedestrians","Amsterdam, NL","52.36763599","4.899494781","Delpher","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_001_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_001.jpg",/make_believe_public/items/make_believe_001.html
"Spokane Fire, 1889 (#14)","","1889-08-05","Looking north from Railroad Avenue after the fire.","fires (events);ruins;tents","North Railroad Avenue, Spokane, WA","47.38632621","-117.172104","Teakle Collection. Northwest Room. Spokane Public Library","","Image;StillImage","image/jpeg","eng","Spokane Public Library has determined that this unpublished photograph was created before 1900 and has passed into the public domain.","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_002_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_002.jpg",/make_believe_public/items/make_believe_002.html
"Spokane Fire, 1889 (#24)","Robert B. Hyslop","1982","Map showing boundaries of the August 4, 1889 fire. Map owned and drawn by Robert Hyslop, 1982.","base maps;fires (events);cartography (discipline)","Spokane, WA","47.65849572","-117.4203818","Northwest Room, Spokane Public Library","","Image;StillImage","image/jpeg","eng","Spokane Public Library is reasonably sure that the object is in copyright. A good faith effort by Spokane Public Library has been made to identify the copyright holder of this object, but none has been identified or located as of 2020. Please contact nwroom@spokanelibrary.org for more information about how this object can be used.","http://rightsstatements.org/vocab/InC-EDU/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_003_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_003.jpg",/make_believe_public/items/make_believe_003.html
"County Deed Records, 1893–97","","1925","Hypotheekbank property ownership noted on business district map of Spokane. From 1925 map, &lt;em&gt;Spokane City Engineer&lt;/em&gt;.","business districts;central business districts;base maps","Spokane, WA","47.65849572","-117.4203818","","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/InC-EDU/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_004_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_004.jpg",/make_believe_public/items/make_believe_004.html
"Dutch Cocoa Powder Tin","Cocoamill de Zaanstroom","1905-03-14","Decorative tin of Dutch cocoa powder housed in Sloane&#39;s Northwest Museum of Arts and Culture.","tinsmiths;plates (illustrations);windmills;waterways;floral patterns","Zaanstroom, Wormerveer, NL","52.49479482","4.793980084","Eastern Washington State Historical Society. Artifacts Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/InC-EDU/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_005_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_005.jpg",/make_believe_public/items/make_believe_005.html
"Spokane Pow Wow Parade","","1913","Parade in Spokane Pow Wow event featuring a performer in a powdered wig and stilts with marching band playing on the street behind him.","parades;street scenes;musical instruments","Spokane, WA","47.65849572","-117.4203818","E.T. Hawk Photograph Collection. Item SPC-023-0996_01_211. Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_006_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_006.jpg",/make_believe_public/items/make_believe_006.html
"Spokesman-Review Letterhead","The Spokesman-Review and Spokane Daily Chronicle","1936-11-01","Detail from a correspondence between the paper and Spokane Flour Mills.","letterheads;marginal illustrations;bell towers;Doric columns;base maps;street scenes","Spokane, WA","47.65849572","-117.4203818","Spokane Flour Mill Records, 1903–1948. Ms 3. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_007_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_007.jpg",/make_believe_public/items/make_believe_007.html
"Illustration of South African Dutch Colonial Interests","","1890","Overlapping illustrations of scenes in South Africa, including a ship&#39;s perspective view of Cape Town and a bird&#39;s eye perspective of diamond mine operations.","bird&#39;s-eye views;colonies;mining;ships;urban landscapes","Kimberely, ZA","-28.73891102","24.75849334","David Rumsey Historical Map Collection","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_008_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_008.jpg",/make_believe_public/items/make_believe_008.html
"Kimberely, Mines de Diamant de Beers","Edouard Foà","1891","Photograph of diamond operations in the Kimberly Mines, controlled by the British De Beers company.","photographs;mining;shaft mining;mine structures","Kimberely, ZA","-28.73891102","24.75849334","Getty Research Institute, Special Collections","","Image;StillImage","image/jpeg","fr","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_009_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_009.jpg",/make_believe_public/items/make_believe_009.html
"Travailleurs days les Mines de Diamant","Edouard Foà","1891","Photograph of two laborers working inside the Kimberely Mines.","photographs;laborers;hand tools","Kimberely, ZA","-28.73891102","24.75849334","Getty Research Institute, Special Collections","","Image;StillImage","image/jpeg","fr","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_010_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_010.jpg",/make_believe_public/items/make_believe_010.html
